"Order Number","رقم الأمر"
"Customer","زبون"
"Start Date w/Turnover","بدء التسجيل ث / قيمة التداول"
"Start Date","تاريخ البدء"
"End Date","تاريخ الانتهاء"
"End Date w/Turnover","تاريخ نهاية ث / قيمة التداول"
"Quantity","كمية"
"Product","المنتج"
"Price","السعر"
"Back","الى الخلف"
"Delete Reservation","حذف الحجز"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد أن تفعل هذا؟"
"Reset","إعادة تعيين"
"Save and Continue Edit","حفظ ومتابعة تحرير"
"Save Reservation","حفظ الحجز"
"Start Date: ","تاريخ البدء:"
"End Date: ","تاريخ الانتهاء:"
"Disabled From","تعطيل من"
"Disabled To","تعطيل ل"
"All Day","كل يوم"
"Repeat","كرر"
"Exclude From","استبعاد من"
"Add","إضافة"
"None","لا شيء"
"Daily","يومي"
"Weekly","أسبوعي"
"Monthly","شهريا"
"Yearly","سنوي"
"Calendar","تقويم"
"Turnover","دوران"
"From","من عند"
"To","إلى"
"Product does not exists","المنتج لا توجد"
"Dates were set","تم تحديد مواعيد"
"Dates were not set","لم تحديد مواعيد"
"Rental","تأجير"
"Reports","تقارير"
"Rental > Calendar","تأجير&gt; التقويم"
"All products must be simple product type","جميع المنتجات يجب أن تكون بسيطة نوع المنتج"
"Products have been converted from simple to reservation","وقد تم تحويل المنتجات من البسيط الى التحفظ"
"All products must be reservation product type","جميع المنتجات يجب أن تحفظ نوع المنتج"
"Products have been converted from reservation to simple","تم تحويل المنتجات من التحفظ على بسيط"
"The reservation has been deleted.","تم حذف هذا التحفظ."
"We can't find a reservation to delete.","لم نتمكن من العثور على التحفظ على حذف."
"Rental Reservations","الحجز الإيجار"
"Edit Reservation","تحرير الحجز"
"New Reservation","الحجز الجديد"
"Reservation","حجز"
"Edited","تحرير"
"Manual Edit Reservation","دليل تحرير الحجز"
"Please correct the data sent.","يرجى تصحيح البيانات المرسلة."
"Something went wrong while saving the page.","حدث خطأ أثناء حفظ الصفحة."
"Page Title","عنوان الصفحة"
"Store View","عرض متجر"
"Status","الحالة"
"To apply changes you should fill in hidden required "%1" field","لتطبيق التغييرات التي يجب أن تملأ في الحقل مخفية المطلوبة &quot;٪ 1&quot;"
"You saved the page.","قمت بحفظ الصفحة."
"Inventory","المخزون"
"Rental > Reports > Inventory","تأجير&gt; تقارير&gt; الجرد"
"Start Date W/Turnover","بدء التسجيل W / قيمة التداول"
"End Date W/Turnover","نهاية التسجيل W / قيمة التداول"
"Serial Number","رقم سري"
"Rental > Reports > Serial Number","تأجير&gt; تقارير&gt; الرقم التسلسلي"
"Return Rentals","إيجارات عودة"
"Some serials appeared to not match reservation. Please check again","ظهرت بعض المسلسلات للا تتطابق مع التحفظ. يرجى التحقق مرة أخرى"
"A total of %1 item(s) have been returned.","وقد عاد ما مجموعه العنصر٪ (1)."
"Send Rentals","إرسال الإيجارات"
"A total of %1 item(s) have been sent.","تم ارسال اجمالي العنصر٪ (1)."
"A total of %1 item(s) have not been sent.","لم يتم ارسال اجمالي العنصر٪ (1)."
"Minute","دقيقة"
"Hour","ساعة"
"Day","يوم"
"Week","أسبوع"
"Month","شهر"
"Year","عام"
"We found a duplicate website, tier price, customer group and quantity.","لقد وجدنا نسخة مكررة على شبكة الإنترنت، سعر الطبقة، مجموعة من العملاء والكمية."
"Group price must be a number greater than 0.","يجب أن يكون سعر المجموعة عددا أكبر من 0."
"We found a duplicate serial number.","وجدنا الرقم التسلسلي مكرر."
"Per Product","في المنتج"
"For all","للجميع"
"Monday","الإثنين"
"Tuesday","الثلاثاء"
"Wednesday","الأربعاء"
"Thursday","الخميس"
"Friday","الجمعة"
"Saturday","يوم السبت"
"Sunday","الأحد"
"Not Pro-Rated","لا بالتناسب"
"Pro-Rated","الموالية للتصنيف"
"Reservation (Calendar)","حجز (التقويم)"
"Disabled","معاق"
"Available","متاح"
"Out","خارج"
"Maintenance","صيانة"
"Broken","كسر"
"Use Times With Grid","استخدام مرات مع الشبكة"
"Use Times No Grid. All Day is reserved","استخدام تايمز لا الشبكة. محجوز كل يوم"
"Times Disabled","مرة المعاقين"
"+ price/period","+ السعر / في الفترة"
"Extra period: price","فترة إضافية: السعر"
"Hide additional price","إخفاء سعر إضافي"
"Two inputs for start end dates","اثنين من المدخلات للتواريخ بداية نهاية"
"Always show","تظهر دائما"
"Regular Calendar On Product Page","التقويم المنتظم على المنتج صفحة"
"No Calendar On Product Page","لا التقويم على المنتج صفحة"
"Fixed Rental Lengths - Choose Start Date(RTRW)","أطوال تأجير ثابت - اختيار تاريخ البدء (RTRW)"
"Fixed Rental Lengths - Start Date Is First Available Date","أطوال تأجير ثابت - بدء التسجيل هو أول تاريخ الأخلاء"
"Drop Down","اسقاط"
"Radio Buttons","أزرار الراديو"
"Show only price points","تظهر نقاط فقط السعر"
"Show price for Selected Global Dates","عرض سعر للتواريخ المحددة العالمية"
"Show price points And Price for Selected Global Dates","عرض السعر نقطة وسعر تواريخ عالمية مختارة"
"Left Column","العمود الأيسر"
"Right Column","العمود الأيمن"
"Shopping Cart","عربة التسوق"
"Per Order","للطلب الواحد"
"ASC","ASC"
"DESC","تنازلي"
"Default","افتراضي"
"Start","بداية"
"Lightness","خفة"
"Darkness","ظلام"
"Sunny","مشمس"
"Redmond","ريدموند"
"Le Frog","لو الضفدع"
"Excite Bike","الدراجة الثائرة"
"Swanky Purse","محفظة فاخر"
"Pepper Grinder","طاحونة الفلفل"
"Blitzer","بليتزر"
"Cupertino","كوبرتينو"
"Overcast","عتم"
"Black Tie","ربطة عنق سوداء"
"Dot Love","نقطة الحب"
"Hot Sneaks","الخونة الساخنة"
"Custom Style 1","العرف نمط 1"
"Custom Style 2","نمط مخصص 2"
"15 Minutes","15 دقيقة"
"30 Minutes","30 دقيقة"
"1 Hour","1 ساعة"
"Object with id "%1" does not exist.","كائن بالمعرف &quot;٪ 1&quot; غير موجود."
"Price for Selected Dates: ","سعر تواريخ مختارة:"
"Buyout: ","الاستحواذ:"
" Extra ","إضافي"
"if quantity is bigger than","إذا كمية أكبر من"
"and","و"
"if quantity is lower than","إذا كمية أقل من"
"Price Excl. tax:","السعر غير شامل. ضريبة:"
"Price Incl. tax:","السعر شامل. ضريبة:"
"Price Excl. Tax:","السعر غير شامل. ضريبة:"
"Pricing:","التسعير:"
"Discount: ","خصم:"
"Next Available:","التالي المتوفر"
"Minimum Period:","الحد الأدنى الفترة:"
"Maximum Period:","الفترة القصوى:"
"Quantity is different than the number of serials returned","كمية مختلفة من عدد من المسلسلات عاد"
"Start Date is disabled for the selected Dates","يتم تعطيل بدء التسجيل للتواريخ المحددة"
"End Date is disabled for the selected Dates","تم تعطيل تاريخ نهاية للتواريخ المحددة"
"There are booked dates in between selected dates","يتم حجز مواعيد هناك بين التواريخ المحددة"
"There is not enough quantity for the selected dates","ليست هناك كمية كافية للتواريخ المحددة"
"Please select start and end date first","الرجاء تحديد بداية وتاريخ نهاية البداية"
"You must have same dates for all products in cart","يجب أن يكون لديك نفس المواعيد لجميع المنتجات في عربة"
"Selected Dates are disabled!","يتم تعطيل تواريخ المختارة!"
"Selected dates should be in the maximum period allowed!","وينبغي أن تكون التواريخ المحددة في مدة أقصاها مسموح به!"
"Selected dates should be in the minimum period allowed!","وينبغي أن تكون التواريخ المحددة في الحد الأدنى من الفترة المسموح بها!"
"Rent","إيجار"
"Buyout","الاستحواذ"
"Return","عودة"
"Configure","تكوين"
"Product with id "%1" does not contain required attribute "%2".","المنتج مع معرف &quot;٪ 1&quot; لا يحتوي على السمة المطلوبة &quot;٪ 2&quot;."
"Products "%1" and "%2" have the same set of attribute values.","منتجات &quot;٪ 1&quot; و &quot;2٪&quot; لها نفس مجموعة من القيم السمة."
"Next Available Date: ","المقبل التاريخ المتوفر"
" No","لا"
" Yes +%s","نعم +٪ الصورة"
"Edit","تحرير"
"If set to yes shipping is disabled for this product","إذا تم تعيين إلى الشحن نعم معطل لهذا المنتج"
"Use Config Settings","استخدام إعدادات التكوين"
"Use quantity and period. Format is like 1d = 1 day, 1w = 1 week, 1M = 1 month, 1m = 1 minute, 1h = 1 hour, 1y = 1 Year, 1s = 1 second. You can also use quantities other than 1 like 5d = 5 days","استخدام كمية وفترة. الشكل هو مثل 1D = 1 يوم، 1W = 1 أسبوع، 1M = 1 شهر، 1M = 1 دقيقة، 1H = 1 ساعة، 1Y = 1 سنة، 1S = 1 ثانية. يمكنك أيضا استخدام كميات أخرى من 1 مثل 5D = 5 أيام"
"Excluded Days of the week","يوم استبعاد الأسبوع"
"ALL GROUPS","جميع الفئات"
"All Websites","كل المواقع الالكترونية"
"Reservation Price","سعر الحجز"
"Website","موقع الكتروني"
"Customer Group","مجموعة العملاء"
"Period","فترة"
"Price Additional","السعر إضافية"
"Period Additional","فترة إضافية"
"Qty Start","الكمية البداية"
"Qty End","الكمية النهاية"
"Excluded Dates for this specific product. 
                When you do not want to include times in the dates check the all day checkbox.","تواريخ استبعاد لهذا منتج معين. عندما كنت لا ترغب في تضمين مرات في تواريخ الاختيار كل مربع يوميا."
"Excluded Dates","تواريخ استبعاد"
"Date From","التاريخ من"
"Date To","التاريخ إلى"
"Day of Week","يوم من الأسبوع"
"Repeat Period","كرر الفترة"
"Serial Numbers","أرقام متسلسلة"
"Notes","الملاحظات"
"Date Acquired","تاريخ الحصول عليها"
"If set to yes Global Excluded Dates defined in config will be used","وإذا تم تعيين إلى تواريخ نعم العالمية ويستثنى محددة في التكوين استخدامها"
"If set to yes Serial Numbers are used. Serial numbers number should be equal to the qty","إذا تم تعيين إلى الأرقام التسلسلية نعم يتم استخدامها. يجب أن يكون الرقم التسلسلي أرقام يساوي الكمية"
"Rental Contact","الإيجار الاتصال"
"per page","في كل صفحة"
"Previous page","الصفحة السابقة"
"of %1","من٪ 1"
"Next page","الصفحة التالية"
"Rental Dates And Pickup/Drop Off Information","تواريخ الإيجار وبيك أب / غلبه النعاس معلومات"
"Rental Dates","تواريخ الإيجار"
"Pickup/Drop Off Dates","/ غلبه النعاس تواريخ لاقط"
"Add after","إضافة بعد"
"Delete","حذف"
"GO","اذهب"
"Legend","أسطورة"
"Turnover Before","دوران قبل"
"Turnover After","دوران بعد"
"Send Date","إرسال التسجيل"
"Selected","مختار"
"Unavailable","غير متوفره"
"Return Date","تاريخ العودة"
"SKU","SKU"
"%name,","٪اسم،"
"Thank you for your order from %store_name.","شكرا لطلبك من STORE_NAME٪."
"You can check the status of your order by <a href="%account_url">logging into your account</a>.","يمكنك التحقق من حالة الطلب عن طريق <a href="%account_url">تسجيل الدخول إلى حسابك</a> ."
"If you have questions about your order, you can email us at <a href="mailto:%store_email">%store_email</a>","إذا كان لديك أسئلة حول طلبك، يمكنك مراسلتنا على <a href="mailto:%store_email">٪ store_email</a>"
"or call us at <a href="tel:%store_phone">%store_phone</a>","أو الاتصال بنا على <a href="tel:%store_phone">٪ store_phone</a>"
"Our hours are <span class="no-link">%store_hours</span>.","ساعات العمل لدينا هي <span class="no-link">store_hours٪.</span>"
"Your Invoice #%invoice_id for Order #%order_id","لديك فاتورة #٪ invoice_id للترتيب #٪ ORDER_ID"
"Billing Info","معلومات الفواتير"
"Shipping Info","معلومات الشحن"
"Payment Method","طريقة الدفع او السداد"
"Shipping Method","طريقة الشحن"
"Enter Valid Period","أدخل فترة شرعي"
"Enter valid period","أدخل الفترة من صالح"
"Select","اختار"
"Sales Igniter","مشعل المبيعات"
"Current Version Installed","النسخة الحالية المثبتة"
"Current Version","النسخة الحالية"
"Calendar Options","خيارات التقويم"
"Theme Style","موضوع نمط"
"How pricing will show on listing","كيف سيتم تسعير تظهر على قائمة"
"Selected dates on a product will be kept all over the site.","سيتم الاحتفاظ التواريخ المحددة على المنتجات في جميع أنحاء الموقع."
"Max / Min Rental Period","ماكس / دقيقة فترة الإيجار"
"Minimum Period","الحد الأدنى من الفترة"
"Format: 1d = 1 day, 1w = 1 week, 1M = 1 month, 1m = 1 minute, 1h = 1 hour, 1y = 1 Year, 1s = 1 second","شكل: 1D = 1 يوم، 1W = 1 أسبوع، 1M = 1 شهر، 1M = 1 دقيقة، 1H = 1 ساعة، 1Y = 1 سنة، 1S = 1 ثانية"
"Maximum Period","الفترة القصوى"
"Show minimum and maximum rental period on product details page","عرض الحد الأدنى والحد الأقصى لفترة الإيجار على صفحة تفاصيل المنتج"
"Turnover Time and Rental Start Padding","الوقت دوران وتأجير بدء الحشو"
"Show turnovers on calendar","مشاهدة تحولات في التقويم"
"Start date padding","تاريخ البدء الحشو"
"How long before a rental is started is the inventory not available for. This is to account for cleaning, shipping, etc. For example if rental starts on May 15 and this is set to 2 days, then the inventory will not be available for May 13 and 14","كم من الوقت قبل بدء تأجير هو المخزون غير متوفر ل. هذا هو حساب لتنظيف والشحن وغيرها على سبيل المثال إذا بدأ تأجير في 15 مايو، ويتم تعيين هذا إلى 2 أيام، ثم سوف المخزون لن تكون متاحة لمدة 13 و 14 مايو"
"How long after a rental is returned is it not available for. This is to account for cleaning, shipping, etc. For example if the rental ends on June 1 and turnover after is set to 2 days, then the inventory will not be available on June 2 and 3","كم من الوقت بعد إرجاع استئجار هو لا تتوفر لل. هذا هو حساب لتنظيف والشحن وغيرها على سبيل المثال إذا كان الإيجار ينتهي في 1 يونيو ودوران بعد تعيين إلى 2 أيام، ثم سوف المخزون لن يكون متاحا في 2 يونيو و 3"
"Reserve inventory without any invoice","المخزون الاحتياطي من دون أي فاتورة"
"Reserve inventory by Status","المخزون الاحتياطي حسب الحالة"
"Reserve inventory starting with the send date","احتياطي انطلاق المخزون مع تاريخ الإرسال"
"Reserve inventory ending with return date","المخزون الاحتياطي تنتهي مع موعد عودة"
"Reserve inventory until the item is returned in inventory","يتم إرجاع احتياطي المخزون حتى هذا البند في المخزون"
"Allow Overbooking for all products","تسمح الحجز الزائد لجميع المنتجات"
"Admin is allowed to overbook all products","يسمح المشرف لأوفيربوك جميع المنتجات"
"If Admin is allowed to overbook then a warning will show if overbooking","إذا سمح مشرف لأوفيربوك ثم سوف تحذير تظهر إذا فرط"
"Pricing","التسعير"
"Add to price calculation number","إضافة إلى السعر عدد الحسابات"
"Category / Listing Page","الفئة / قائمة الصفحة"
"Number of price points to show","عدد نقاط السعر لاظهار"
"How many prices show on the product listing only applies to reservation type products that use rental pricing. For example if you set to 2, then the first 2 price period would show like:<br/>1 day $5<br/>1 week $10<br/>If you set to 3, then it would show 3 of the price periods.","كيف تظهر العديد من الأسعار في قائمة المنتجات ينطبق فقط على نوع حجز المنتجات التي تستخدم أسعار الإيجار. على سبيل المثال إذا قمت بتعيين إلى 2، ثم أول الفترة 2 السعر سوف تظهر مثل: <br/> 1 يوم 5 $ <br/> 1 أسبوع 10 $ <br/> إذا قمت بتعيين إلى 3، بعد ذلك سوف تظهر 3 من الفترات السعر."
"-1 means all price points","-1 يعني كل نقطة السعر"
"Show next available date","تظهر البيانات المتوفرة المقبل"
"Sort Price List by Period","ترتيب قائمة الأسعار من قبل فترة"
"Sort Price List Type","ترتيب قائمة السعر نوع"
"Show prices in table format on product view","عرض الأسعار في شكل جدول على وجهة نظر المنتج"
"Show buyout price on listing page","سعر عرض الاستحواذ على الصفحة الإدراج"
"Hide time period numbers from product info page","أرقام الفترة إخفاء الساعة من صفحة معلومات عن المنتج"
"Product Details Page","تفاصيل المنتج الصفحة"
"Additional time period display preference","وقت إضافي عرض الفترة تفضيل"
"Store Hours / Holidays / Blackout Dates","متجر ساعات / عطلات / تواريخ التعتيم"
"Time Increment On Time Of Day Drop Down Fields","وقت الاضافة على الوقت من اليوم الحقول أسفل قطرة"
"How is time shown on calendar. If set to yes AM/PM is used.","كيف هي الوقت الذي يظهر على التقويم. إذا اخترت نعم AM / PM المستخدم."
"Store Open Time","متجر الوقت المفتوحة"
"What time your store opens. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"In hh:mm:ss format","في HH: MM: SS شكل"
"Store Close Time","مخزن إغلاق الوقت"
"What time your store closes. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Store Open Time Monday","تخزين المفتوحة وقت الاثنين"
"What time your store opens on Monday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك يوم الاثنين. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Monday","مخزن إغلاق الوقت الاثنين"
"What time your store closes Monday. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك الاثنين. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Store Open Time Tuesday","تخزين المفتوحة الوقت الثلاثاء"
"What time your store opens Tuesday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك الثلاثاء. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Tuesday","مخزن إغلاق الوقت الثلاثاء"
"Store Open Time Wednesday","تخزين المفتوحة وقت الاربعاء"
"What time your store opens Wednesday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك الاربعاء. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Wednesday","مخزن إغلاق الوقت الأربعاء"
"Store Open Time Thursday","تخزين المفتوحة الوقت الخميس"
"What time your store opens Thursday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك الخميس. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Thursday","مخزن إغلاق الوقت الخميس"
"What time your store closes Thursday. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك الخميس. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Store Open Time Friday","تخزين المفتوحة وقت الجمعة"
"What time your store opens Friday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك الجمعة. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Friday","مخزن إغلاق الوقت الجمعة"
"What time your store closes Friday. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك الجمعة. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Store Open Time Saturday","تخزين المفتوحة الوقت السبت"
"What time your store opens Saturday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك السبت. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Saturday","مخزن إغلاق الوقت السبت"
"What time your store closes Saturday. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك السبت. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Store Open Time Sunday","تخزين المفتوحة الوقت الأحد"
"What time your store opens Sunday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك الاحد. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Sunday","مخزن إغلاق الوقت الأحد"
"What time your store closes Sunday. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك الاحد. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Exclude Dates From Price or Calendar or Turnover","استبعاد تواريخ من الأسعار أو التقويم أو دوران"
"This can be used for holidays (exclude from calendar) or dates that you do not want to charge for (exclude from price)","ويمكن استخدام هذه لقضاء العطلات (استبعاد من التقويم) أو التواريخ التي لا تريد لتوجيه الاتهام ل(استبعاد من السعر)"
"<b>Exclude from calendar:</b> Means it will not be selectable on the calendar.<br /><b>Exclude from price:</b> Means this date is not included in price calculation.<br /><b>Exclude from turnover:</b> if set to yes, this means these dates will not count as turnover time. Example: you have turnover time set to 1 day after and you have a rental from January 1 - 2. You have January 3 as a blockout date excluded from Turnover. So January 4 and 5 would be your turnover days (will not use January 3) and next available rental date is January 6.","<b>استبعاد من التقويم: وسائل</b> لن يكون اختيارها على التقويم. <br /> <b>استبعاد من السعر: وسائل</b> لم يتم تضمين هذا التاريخ في حساب السعر. <br /> <b>استبعاد من دوران:</b> إن كانت القيمة نعم، وهذا يعني أن هذه التواريخ لا يعد بمثابة دوران الساعة. على سبيل المثال: لديك الوقت دوران تعيينها إلى 1 بعد يوم وكان لديك استئجار من 1 يناير - 2. لديك 3 يناير موعدا blockout استبعادها من قيمة التداول. حتى 4 يناير و 5 سيكون يوم التداول الخاص بك (لن استخدام 3 يناير) والقادم تاريخ الإيجار المتاح هو 6 يناير."
"Disabled Days of week for start date","يوم للمعاقين من الأسبوع لتاريخ بدء"
"Disabled Days of week for end date","يوم للمعاقين من الأسبوع لتاريخ انتهاء"
"Disabled Days of week for both start date and end date","يوم للمعاقين الأسبوع لكل تاريخ بداية ونهاية التاريخ"
"Exclude disabled days of week from price, calendar, turnover","استبعاد أيام المعوقين الأسبوع من السعر، والتقويم، والدوران"
"Emails","رسائل البريد الإلكتروني"
"Send Return Reminder Emails","إرسال رسائل البريد الإلكتروني العودة تذكير"
"Days before rental is due to send return reminder","أيام قبل استئجار ومن المقرر أن ترسل تذكرة عودة"
"Return Reminder Template","قالب تذكير عودة"
"Send Return Confirmation Emails","إرسال رسائل البريد الإلكتروني تأكيد العودة"
"Return Confirmation Email Template","قالب البريد الإلكتروني تأكيد عودة"
"Rental Calendar","التقويم الإيجار"
"Rental Calendar Widget","تأجير التقويم القطعة"
"Select Dates","تحديد التواريخ"
"Use Times","استخدام تايمز"
"Category ID","معرف الفئة"
"Category ID. The GO button will ALWAYS redirect to this category","معرف الفئة. على زر GO توجيه دوما إلى هذه الفئة"
"Template","قالب"
"Sidebar Template","قالب الشريط الجانبي"
"Shopping Cart Template","قالب سلة التسوق"
"Cache Lifetime (Seconds)","مخبأ عمر (ثانية)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 افتراضيا، إذا لم يحدد بعد. لتحديث على الفور، قم بإلغاء تحديد الناتج مخبأ كتل HTML."
"Dropoff / Pickup Dates","تواريخ يتجمعوا / بيك أب"
"Change product type","تغيير نوع المنتج"
"Simple to Reservation","بسيطة لالحجز"
"Reservation to Simple","التحفظ على بسيط"
"Total Inventory","إجمالي المخزون"
"Qty Booked","الكمية حجز"
"Qty Available","الكمية المتوفرة"
"Date Filter","تاريخ تصفية"
"ID","هوية شخصية"
"Qty Ordered","الكمية المطلوبة"
"Ship Date","تاريخ الشحن"
"Qty Returned","الكمية المرتجعة"
"Serials Returned","المسلسلات إرجاعها"
"Return items","الأصناف المرتجعة"
"Are you sure you want to return selected items?","هل أنت متأكد أنك تريد إرجاع العناصر المحددة؟"
"Reserved Qty","محفوظة الكمية"
"Shipped Qty","شحن الكمية"
"Max Qty To Return","ماكس الكمية للعودة"
"Order Id","رقم التعريف الخاص بالطلب"
"Qty To Return","الكمية للعودة"
"Serial","مسلسل"
"Serials Shipped","المسلسلات التي يتم شحنها"
"Qty Shipped","الكمية يشحن"
"Send","إرسال"
"Send items","إرسال البنود"
"Are you sure you wan't to send selected items?","هل أنت متأكد أنك wan&#39;t لإرسال العناصر المحددة؟"
"Max Qty To Ship","ماكس الكمية إلى السفينة"
"Qty To Ship","الكمية إلى السفينة"
"Reservation Information","معلومات الحجز"
"Is From Order","هو من ترتيب"
"Add New Reservation","إضافة الحجز الجديد"
"Is Order","هو ترتيب"
