"Order Number","Numero ng order"
"Customer","parokyano"
"Start Date w/Turnover","Petsa ng Pagsisimula w / paglilipat ng tungkulin"
"Start Date","Petsa ng Pagsisimula"
"End Date","Petsa ng Pagtatapos"
"End Date w/Turnover","Petsa ng Pagtatapos w / paglilipat ng tungkulin"
"Quantity","dami"
"Product","produkto"
"Price","presyo"
"Back","likod"
"Delete Reservation","Burahin Reserbasyon"
"Are you sure you want to do this?","Sigurado ka bang gusto mong gawin ito?"
"Reset","I-reset"
"Save and Continue Edit","I-save at Magpatuloy Edit"
"Save Reservation","save Reserbasyon"
"Start Date: ","Petsa ng Pagsisimula:"
"End Date: ","Petsa ng Pagtatapos:"
"Disabled From","pinagana Mula"
"Disabled To","Upang Disabled"
"All Day","Buong araw"
"Repeat","ulitin"
"Exclude From","ibukod Mula"
"Add","idagdag"
"None","wala"
"Daily","Araw-araw"
"Weekly","lingguhan"
"Monthly","buwanan"
"Yearly","taun-taon"
"Calendar","Kalendaryo"
"Turnover","paglilipat ng tungkulin"
"From","Mula"
"To","upang"
"Product does not exists","Produkto ay hindi umiiral"
"Dates were set","Mga araw ay itinakda"
"Dates were not set","Ang mga araw ay hindi nakatakda"
"Rental","upa"
"Reports","Reports"
"Rental > Calendar","Rental&gt; Kalendaryo"
"All products must be simple product type","Lahat ng mga produkto ay dapat na simple ng Uri ng Produkto"
"Products have been converted from simple to reservation","Produkto ay nai-convert mula sa simpleng sa reservation"
"All products must be reservation product type","Lahat ng mga produkto ay dapat na reservation ng Uri ng Produkto"
"Products have been converted from reservation to simple","Produkto ay nai-convert mula sa reservation sa simpleng"
"The reservation has been deleted.","reservation The has been deleted."
"We can't find a reservation to delete.","Hindi namin mahanap ang isang reserbasyon tanggalin."
"Rental Reservations","rental Reservations"
"Edit Reservation","Edit Reserbasyon"
"New Reservation","New Reserbasyon"
"Reservation","reserbasyon"
"Edited","In-edit"
"Manual Edit Reservation","Manual Edit Reserbasyon"
"Please correct the data sent.","Pakiwasto ang mga data na ipinadala."
"Something went wrong while saving the page.","Nagkaproblema habang nagse-save ang pahina."
"Page Title","Pamagat ng pahina"
"Store View","Store View"
"Status","katayuan"
"To apply changes you should fill in hidden required "%1" field","Upang ilapat ang mga pagbabago na dapat mong punan ang mga nakatagong kinakailangan &quot;% 1&quot; field"
"You saved the page.","save mo ang pahina."
"Inventory","imbentaryo"
"Rental > Reports > Inventory","Rental&gt; Ulat&gt; Inventory"
"Start Date W/Turnover","Petsa ng Pagsisimula W / paglilipat ng tungkulin"
"End Date W/Turnover","Petsa ng Pagtatapos W / paglilipat ng tungkulin"
"Serial Number","serial Number"
"Rental > Reports > Serial Number","Rental&gt; Ulat&gt; Serial Number"
"Return Rentals","return Rentals"
"Some serials appeared to not match reservation. Please check again","Ang ilang mga serials lumitaw na hindi tumutugma reservation. Mangyaring suriin muli"
"A total of %1 item(s) have been returned.","Isang kabuuan ng% 1 (mga) item ay ibinalik."
"Send Rentals","Magpadala Rentals"
"A total of %1 item(s) have been sent.","Isang kabuuan ng% 1 (mga) item naipadala na."
"A total of %1 item(s) have not been sent.","Isang kabuuan ng% 1 (mga) item ay hindi pa naipapadala."
"Minute","minuto"
"Hour","Oras"
"Day","araw"
"Week","linggo"
"Month","buwan"
"Year","taon"
"We found a duplicate website, tier price, customer group and quantity.","Natagpuan namin ang isang duplicate website, tier presyo, customer group at dami."
"Group price must be a number greater than 0.","Group presyo ay dapat na isang numero na mas malaki kaysa sa 0."
"We found a duplicate serial number.","Natagpuan namin ang isang duplicate serial number."
"Per Product","bawat Produkto"
"For all","Para sa lahat"
"Monday","Lunes"
"Tuesday","Martes"
"Wednesday","Miyerkules"
"Thursday","Huwebes"
"Friday","Biyernes"
"Saturday","Sabado"
"Sunday","Linggo"
"Not Pro-Rated","Hindi Pro-Rated"
"Pro-Rated","Pro-Rated"
"Reservation (Calendar)","Reservation (Calendar)"
"Disabled","baldado"
"Available","magagamit"
"Out","Palabas"
"Maintenance","pagpapanatili"
"Broken","Broken"
"Use Times With Grid","Gamitin Times Sa Grid"
"Use Times No Grid. All Day is reserved","Gamitin Times No Grid. Lahat ng Araw ay nakalaan"
"Times Disabled","Times Disabled"
"+ price/period","+ Presyo / panahon"
"Extra period: price","Extra panahon: presyo"
"Hide additional price","Itago karagdagang presyo"
"Two inputs for start end dates","Dalawang input para sa mga petsa ng pagsisimula end"
"Always show","Laging ipakita"
"Regular Calendar On Product Page","Regular Calendar Sa Pahina ng Produkto"
"No Calendar On Product Page","No Calendar Sa Pahina ng Produkto"
"Fixed Rental Lengths - Choose Start Date(RTRW)","Fixed Rental haba - Piliin Petsa ng Pagsisimula (RTRW)"
"Fixed Rental Lengths - Start Date Is First Available Date","Fixed Rental haba - Petsa ng Pagsisimula ang Una Magagamit Date"
"Drop Down","Drop Down"
"Radio Buttons","Pindutan Radio"
"Show only price points","Ipakita lamang ang mga punto ng presyo"
"Show price for Selected Global Dates","Ipakita ang presyo para sa Napiling Global Dates"
"Show price points And Price for Selected Global Dates","Ipakita ang presyo puntos At Presyo para sa Napiling Global Dates"
"Left Column","kaliwa Haligi"
"Right Column","right Column"
"Shopping Cart","Shopping Cart"
"Per Order","bawat Order"
"ASC","ASC"
"DESC","DESC"
"Default","default"
"Start","simula"
"Lightness","kawalang-galang"
"Darkness","kadiliman"
"Sunny","maaraw"
"Redmond","Redmond"
"Le Frog","Le Frog"
"Excite Bike","Excite Bike"
"Swanky Purse","Swanky Purse"
"Pepper Grinder","Pepper Grinder"
"Blitzer","Blitzer"
"Cupertino","Cupertino"
"Overcast","maulap"
"Black Tie","Itim na kurbata"
"Dot Love","Dot-ibig"
"Hot Sneaks","Hot Sneaks"
"Custom Style 1","Custom Style 1"
"Custom Style 2","Custom Style 2"
"15 Minutes","15 Minuto"
"30 Minutes","30 Minutes"
"1 Hour","1 oras"
"Object with id "%1" does not exist.","Object may id na &quot;% 1&quot; ay hindi umiiral."
"Price for Selected Dates: ","Presyo para sa Napiling Petsa:"
"Buyout: ","buyout:"
" Extra ","dagdag"
"if quantity is bigger than","kung dami ay mas malaki kaysa"
"and","at"
"if quantity is lower than","kung dami ay mas mababa kaysa"
"Price Excl. tax:","Price excl. buwis:"
"Price Incl. tax:","Presyo Incl. buwis:"
"Price Excl. Tax:","Price excl. tax:"
"Pricing:","pagpepresyo:"
"Discount: ","diskwento:"
"Next Available:","Next Magagamit:"
"Minimum Period:","Minimum Panahon:"
"Maximum Period:","Maximum Panahon:"
"Quantity is different than the number of serials returned","Dami ay naiiba kaysa sa bilang ng mga serials bumalik"
"Start Date is disabled for the selected Dates","Petsa ng Pagsisimula ay hindi pinagana para sa napiling petsa"
"End Date is disabled for the selected Dates","Petsa ng Pagtatapos ay hindi pinagana para sa napiling petsa"
"There are booked dates in between selected dates","May mga naka-book na mga petsa sa pagitan ng mga napiling petsa"
"There is not enough quantity for the selected dates","Walang sapat na dami para sa napiling petsa"
"Please select start and end date first","Mangyaring pumili petsa ng pagsisimula at pagtatapos unang"
"You must have same dates for all products in cart","Dapat ay mayroon kang parehong mga petsa para sa lahat ng mga produkto sa cart"
"Selected Dates are disabled!","Napiling mga petsa ay hindi pinagana!"
"Selected dates should be in the maximum period allowed!","Napiling mga petsa ay dapat na sa maximum na panahon pinapayagan!"
"Selected dates should be in the minimum period allowed!","Napiling mga petsa ay dapat na sa minimum na panahon pinapayagan!"
"Rent","upa"
"Buyout","buyout"
"Return","pagbabalik"
"Configure","I-configure"
"Product with id "%1" does not contain required attribute "%2".","Produkto na may id na &quot;% 1&quot; ay hindi naglalaman ng mga kinakailangang attribute &quot;% 2&quot;."
"Products "%1" and "%2" have the same set of attribute values.","Produkto &quot;% 1&quot; at &quot;% 2&quot; ay may katulad na hanay ng mga halaga ng katangian."
"Next Available Date: ","Next Magagamit ang petsa:"
" No","Hindi"
" Yes +%s","Oo +% s"
"Edit","Edit"
"If set to yes shipping is disabled for this product","Kung nakatakda sa yes shipping ay hindi pinagana para sa produktong ito"
"Use Config Settings","Gamitin Setting Config"
"Use quantity and period. Format is like 1d = 1 day, 1w = 1 week, 1M = 1 month, 1m = 1 minute, 1h = 1 hour, 1y = 1 Year, 1s = 1 second. You can also use quantities other than 1 like 5d = 5 days","Gamitin dami at panahon. Format ay tulad 1d = 1 araw, 1w = 1 linggo, 1M = 1 buwan, 1m = 1 minuto, 1h = 1 hour, 1y = 1 Year, 1s = 1 segundo. Maaari mo ring gamitin dami maliban sa 1 tulad 5d = 5 araw"
"Excluded Days of the week","Ibinukod Araw ng linggo"
"ALL GROUPS","ALL GROUPS"
"All Websites","Lahat Websites"
"Reservation Price","Reserbasyon Presyo"
"Website","Website"
"Customer Group","customer Group"
"Period","panahon"
"Price Additional","presyo Karagdagang"
"Period Additional","Period Karagdagang"
"Qty Start","Dami Start"
"Qty End","Dami End"
"Excluded Dates for this specific product. 
                When you do not want to include times in the dates check the all day checkbox.","Ibinukod Dates para sa tiyak na produkto. Kapag hindi mo nais na isama ang mga oras sa mga petsa check ang lahat ng araw checkbox."
"Excluded Dates","ibinukod Dates"
"Date From","Petsa mula"
"Date To","Petsa Upang"
"Day of Week","Araw sa isang linggo"
"Repeat Period","Ulitin Period"
"Serial Numbers","serial Numbers"
"Notes","Notes"
"Date Acquired","Petsa Nakuhang"
"If set to yes Global Excluded Dates defined in config will be used","Kung nakatakda sa yes Global Ibinukod Dates tinukoy sa config ay gagamitin"
"If set to yes Serial Numbers are used. Serial numbers number should be equal to the qty","Kung nakatakda sa yes Serial Numbers ay ginagamit. Serial number numero ay dapat na katumbas ng Dami"
"Rental Contact","rental Makipag-ugnay sa"
"per page","sa bawat pahina"
"Previous page","nakaraang pahina"
"of %1","ng% 1"
"Next page","Susunod na pahina"
"Rental Dates And Pickup/Drop Off Information","Rental Dates And Pickup / Drop Off Impormasyon"
"Rental Dates","rental Dates"
"Pickup/Drop Off Dates","Pickup / Drop Off Dates"
"Add after","Idagdag matapos"
"Delete","alisin"
"GO","GO"
"Legend","alamat"
"Turnover Before","Paglilipat ng tungkulin Bago"
"Turnover After","Paglilipat ng tungkulin Pagkatapos"
"Send Date","Magpadala Date"
"Selected","Pinili"
"Unavailable","Unavailable"
"Return Date","return Date"
"SKU","SKU"
"%name,","% Pangalan,"
"Thank you for your order from %store_name.","Salamat sa iyo para sa iyong order mula sa% STORE_NAME."
"You can check the status of your order by <a href="%account_url">logging into your account</a>.","Maaari mong tingnan ang katayuan ng iyong order sa pamamagitan <a href="%account_url">ng pag-log sa iyong account</a> ."
"If you have questions about your order, you can email us at <a href="mailto:%store_email">%store_email</a>","Kung mayroon kang mga katanungan tungkol sa iyong order, maaari mong i-email sa amin sa <a href="mailto:%store_email">% store_email</a>"
"or call us at <a href="tel:%store_phone">%store_phone</a>","o tawagan kami sa <a href="tel:%store_phone">% store_phone</a>"
"Our hours are <span class="no-link">%store_hours</span>.","Ang aming mga oras <span class="no-link">ay% store_hours.</span>"
"Your Invoice #%invoice_id for Order #%order_id","Ang iyong Invoice #% invoice_id para sa Order #% order_id"
"Billing Info","Impormasyon sa Pagsingil"
"Shipping Info","Impormasyon ng Pagpapadala"
"Payment Method","Paraan ng Pagbayad"
"Shipping Method","Pamamaraan ng Pagpapadala"
"Enter Valid Period","Ipasok Valid Period"
"Enter valid period","Magpasok ng wastong panahon"
"Select","piliin"
"Sales Igniter","Sales Igniter"
"Current Version Installed","Kasalukuyang Bersyon Naka-install"
"Current Version","kasalukuyang Bersyon"
"Calendar Options","Opsyon Calendar"
"Theme Style","Style Theme"
"How pricing will show on listing","Paano pricing ay ipapakita sa listahan"
"Selected dates on a product will be kept all over the site.","Napiling pakikipag-date sa isang produkto ay nag-iingat sa buong site."
"Max / Min Rental Period","Max / Min Rental Period"
"Minimum Period","Minimum Period"
"Format: 1d = 1 day, 1w = 1 week, 1M = 1 month, 1m = 1 minute, 1h = 1 hour, 1y = 1 Year, 1s = 1 second","Format: 1d = 1 araw, 1w = 1 linggo, 1M = 1 buwan, 1m = 1 minuto, 1h = 1 hour, 1y = 1 Year, 1s = 1 segundo"
"Maximum Period","Maximum Period"
"Show minimum and maximum rental period on product details page","Ipakita ang minimum at maximum na panahon ng pagrenta sa mga detalye ng pahina ng produkto"
"Turnover Time and Rental Start Padding","Paglilipat ng tungkulin Oras at Rental Start Padding"
"Show turnovers on calendar","Show turnovers sa kalendaryo"
"Start date padding","Petsa ng pagsisimula padding"
"How long before a rental is started is the inventory not available for. This is to account for cleaning, shipping, etc. For example if rental starts on May 15 and this is set to 2 days, then the inventory will not be available for May 13 and 14","Gaano katagal bago ang isang rental ay makapagsimula ay ang imbentaryo hindi magagamit para sa. Ito ay sa account para sa paglilinis, shipping, atbp Halimbawa kung rental ay nagsisimula sa Mayo 15 at ito ay naka-set sa 2 araw, pagkatapos ay ang imbentaryo ay hindi magagamit para sa Mayo 13 at 14"
"How long after a rental is returned is it not available for. This is to account for cleaning, shipping, etc. For example if the rental ends on June 1 and turnover after is set to 2 days, then the inventory will not be available on June 2 and 3","Gaano katagal matapos ang isang rental ay ibinalik ito hindi magagamit para sa. Ito ay sa account para sa paglilinis, shipping, atbp Halimbawa kung ang rental ay nagtatapos sa Hunyo 1 at paglilipat ng tungkulin pagkatapos ay naka-set sa 2 araw, pagkatapos ay ang imbentaryo ay hindi magiging available sa Hunyo 2 at 3"
"Reserve inventory without any invoice","Reserve imbentaryo nang walang anumang invoice"
"Reserve inventory by Status","Reserve imbentaryo sa pamamagitan ng Katayuan"
"Reserve inventory starting with the send date","Reserve imbentaryo panimulang sa petsa send"
"Reserve inventory ending with return date","Reserve imbentaryo nagtatapos sa petsa return"
"Reserve inventory until the item is returned in inventory","Reserve imbentaryo hanggang sa item ay ibinalik sa imbentaryo"
"Allow Overbooking for all products","Payagan overbook para sa lahat ng mga produkto"
"Admin is allowed to overbook all products","Admin ay pinahihintulutan na overbook lahat ng mga produkto"
"If Admin is allowed to overbook then a warning will show if overbooking","Kung Admin ay pinahihintulutan na overbook pagkatapos ng babala ay magpapakita kung overbook"
"Pricing","pagpepresyo"
"Add to price calculation number","Idagdag sa presyo pagkalkula number"
"Category / Listing Page","Kategorya / Listing Simula"
"Number of price points to show","Bilang ng mga puntos na presyo upang ipakita"
"How many prices show on the product listing only applies to reservation type products that use rental pricing. For example if you set to 2, then the first 2 price period would show like:<br/>1 day $5<br/>1 week $10<br/>If you set to 3, then it would show 3 of the price periods.","Gaano karaming mga presyo ipakita sa listahan ng produkto ay sumasaklaw lamang sa reservation uri ng mga produkto na gumagamit ng rental presyo. Halimbawa kung ikaw ay itakda sa 2, pagkatapos ay ang unang panahon 2 presyo ay magpapakita tulad ng: <br/> 1 araw $ 5 <br/> 1 linggo $ 10 <br/> Kung itinakda mo sa 3, at pagkatapos ay ito ipakita 3 ng panahon presyo."
"-1 means all price points","-1 Nangangahulugan na ang lahat mga punto ng presyo"
"Show next available date","Ipakita ang susunod na magagamit na petsa"
"Sort Price List by Period","Suriin Presyo List sa pamamagitan Period"
"Sort Price List Type","Suriin Ayon Type Listahan ng Presyo"
"Show prices in table format on product view","Ipakita ang presyo sa table format sa view ng produkto"
"Show buyout price on listing page","Show buyout presyo sa pahina ng listahan"
"Hide time period numbers from product info page","Itago time numero panahon mula pahina ng impormasyon ng produkto"
"Product Details Page","Detalye ng mga Produkto Page"
"Additional time period display preference","Karagdagang tagal ng panahon display preference"
"Store Hours / Holidays / Blackout Dates","Store Hours / Holidays / Blackout Dates"
"Time Increment On Time Of Day Drop Down Fields","Time pagdaragdag On Time Of Day Drop Down Fields"
"How is time shown on calendar. If set to yes AM/PM is used.","Paano ay oras na ipinapakita sa kalendaryo. Kung nakatakda sa yes AM / PM ay ginagamit."
"Store Open Time","Store Open Time"
"What time your store opens. This is used for the time of day drop down for rental start time if enabled","Anong oras ang iyong tindahan ay bubukas. Ito ay ginagamit para sa oras ng araw drop down para sa rental oras ng simula kung pinagana"
"In hh:mm:ss format","Sa hh: mm: ss format"
"Store Close Time","Store Close Time"
"What time your store closes. This is used for the time of day drop down for the rental end time if enabled","Anong oras ang iyong tindahan ng Pagtatasa. Ito ay ginagamit para sa oras ng araw drop down para sa rental huling kapanahunan kung pinagana"
"Store Open Time Monday","I-imbak ang Open oras Lunes"
"What time your store opens on Monday. This is used for the time of day drop down for rental start time if enabled","Anong oras ang iyong tindahan ay bubukas sa Lunes. Ito ay ginagamit para sa oras ng araw drop down para sa rental oras ng simula kung pinagana"
"Store Close Time Monday","Store Close oras Lunes"
"What time your store closes Monday. This is used for the time of day drop down for the rental end time if enabled","Anong oras ang iyong tindahan magsasara Lunes. Ito ay ginagamit para sa oras ng araw drop down para sa rental huling kapanahunan kung pinagana"
"Store Open Time Tuesday","I-imbak ang Open oras Martes"
"What time your store opens Tuesday. This is used for the time of day drop down for rental start time if enabled","Anong oras ang iyong tindahan ay bubukas Martes. Ito ay ginagamit para sa oras ng araw drop down para sa rental oras ng simula kung pinagana"
"Store Close Time Tuesday","Store Close oras Martes"
"Store Open Time Wednesday","I-imbak ang Open Time Miyerkules"
"What time your store opens Wednesday. This is used for the time of day drop down for rental start time if enabled","Anong oras ang iyong tindahan ay bubukas Miyerkules. Ito ay ginagamit para sa oras ng araw drop down para sa rental oras ng simula kung pinagana"
"Store Close Time Wednesday","Store Close Time Miyerkules"
"Store Open Time Thursday","I-imbak ang Open Time Huwebes"
"What time your store opens Thursday. This is used for the time of day drop down for rental start time if enabled","Anong oras ang iyong tindahan ay bubukas Huwebes. Ito ay ginagamit para sa oras ng araw drop down para sa rental oras ng simula kung pinagana"
"Store Close Time Thursday","Store Close Time Huwebes"
"What time your store closes Thursday. This is used for the time of day drop down for the rental end time if enabled","Anong oras ang iyong tindahan magsasara Huwebes. Ito ay ginagamit para sa oras ng araw drop down para sa rental huling kapanahunan kung pinagana"
"Store Open Time Friday","I-imbak ang Open oras Biyernes"
"What time your store opens Friday. This is used for the time of day drop down for rental start time if enabled","Anong oras ang iyong tindahan ay bubukas Biyernes. Ito ay ginagamit para sa oras ng araw drop down para sa rental oras ng simula kung pinagana"
"Store Close Time Friday","Store Close oras Biyernes"
"What time your store closes Friday. This is used for the time of day drop down for the rental end time if enabled","Anong oras ang iyong tindahan magsasara Biyernes. Ito ay ginagamit para sa oras ng araw drop down para sa rental huling kapanahunan kung pinagana"
"Store Open Time Saturday","I-imbak ang Open Time Sabado"
"What time your store opens Saturday. This is used for the time of day drop down for rental start time if enabled","Anong oras ang iyong tindahan ay bubukas Sabado. Ito ay ginagamit para sa oras ng araw drop down para sa rental oras ng simula kung pinagana"
"Store Close Time Saturday","Store Close Time Sabado"
"What time your store closes Saturday. This is used for the time of day drop down for the rental end time if enabled","Anong oras ang iyong tindahan magsasara Sabado. Ito ay ginagamit para sa oras ng araw drop down para sa rental huling kapanahunan kung pinagana"
"Store Open Time Sunday","I-imbak ang Open Time Linggo"
"What time your store opens Sunday. This is used for the time of day drop down for rental start time if enabled","Anong oras ang iyong tindahan ay bubukas Linggo. Ito ay ginagamit para sa oras ng araw drop down para sa rental oras ng simula kung pinagana"
"Store Close Time Sunday","Store Close Time Linggo"
"What time your store closes Sunday. This is used for the time of day drop down for the rental end time if enabled","Anong oras ang iyong tindahan magsasara Linggo. Ito ay ginagamit para sa oras ng araw drop down para sa rental huling kapanahunan kung pinagana"
"Exclude Dates From Price or Calendar or Turnover","Ibukod Dates Mula Presyo o Calendar o paglilipat ng tungkulin"
"This can be used for holidays (exclude from calendar) or dates that you do not want to charge for (exclude from price)","Ito ay maaaring gamitin para sa mga pista opisyal (hindi kasali mula sa kalendaryo) o mga petsa na hindi mo nais na singilin para sa (ibukod mula presyo)"
"<b>Exclude from calendar:</b> Means it will not be selectable on the calendar.<br /><b>Exclude from price:</b> Means this date is not included in price calculation.<br /><b>Exclude from turnover:</b> if set to yes, this means these dates will not count as turnover time. Example: you have turnover time set to 1 day after and you have a rental from January 1 - 2. You have January 3 as a blockout date excluded from Turnover. So January 4 and 5 would be your turnover days (will not use January 3) and next available rental date is January 6.","<b>Ibukod mula sa kalendaryo:</b> Ay nangangahulugan hindi ito magiging maaaring piliin sa kalendaryo. <br /> <b>Ibukod mula sa presyo:</b> Ibig Sabihin ng petsang ito ay hindi kasama sa presyo pagkalkula. <br /> <b>Ibukod mula sa paglilipat ng tungkulin:</b> kung nakatakda sa yes, ito ay nangangahulugan ng mga petsang ito ay hindi mabibilang bilang turnover oras. Halimbawa: Mayroon ba kayong turnover oras na itinakda sa 1 araw pagkatapos at mayroon kang isang rental mula Enero 1 - 2. Mayroon kang January 3 bilang isang petsa blockout ibinukod mula pagbabalik ng puhunan. So January 4 at 5 ay ang iyong pagbabalik ng puhunan araw (hindi gagamitin Enero 3) at susunod na magagamit na rental date ay Enero 6."
"Disabled Days of week for start date","Disabled Days of week para sa petsa ng pagsisimula"
"Disabled Days of week for end date","Disabled Days of linggo para petsa ng pagtatapos"
"Disabled Days of week for both start date and end date","Disabled Days of week para sa parehong mga petsa ng simula at pangwakas na petsa"
"Exclude disabled days of week from price, calendar, turnover","Ibukod disabled araw ng linggo mula sa presyo, kalendaryo, paglilipat ng tungkulin"
"Emails","Mga Email"
"Send Return Reminder Emails","Magpadala Return Paalala Emails"
"Days before rental is due to send return reminder","Ilang araw bago rental ay dahil sa magpadala paalala return"
"Return Reminder Template","Return Paalala Template"
"Send Return Confirmation Emails","Magpadala Return Confirmation Emails"
"Return Confirmation Email Template","Return Confirmation Email Template"
"Rental Calendar","rental Calendar"
"Rental Calendar Widget","Rental Widget Calendar"
"Select Dates","Pumili ng petsa"
"Use Times","paggamit Times"
"Category ID","ID Kategorya"
"Category ID. The GO button will ALWAYS redirect to this category","Category ID. Ang GO button ay palaging redirect sa kategoryang ito"
"Template","template"
"Sidebar Template","Sidebar Template"
"Shopping Cart Template","Cart Template Shopping"
"Cache Lifetime (Seconds)","Cache Lifetime (Segundo)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 sa pamamagitan ng default, kung hindi nakatakda. Upang i-refresh agad, i-clear ang Blocks HTML Output cache."
"Dropoff / Pickup Dates","Dropoff / Pickup Dates"
"Change product type","Baguhin uri ng produkto"
"Simple to Reservation","Simple upang Reserbasyon"
"Reservation to Simple","Reserbasyon sa Simple"
"Total Inventory","Kabuuang Inventory"
"Qty Booked","Dami Booked"
"Qty Available","Dami Magagamit"
"Date Filter","Petsa Filter"
"ID","ID"
"Qty Ordered","Dami Na-order"
"Ship Date","Ship Petsa"
"Qty Returned","Dami ibinalik"
"Serials Returned","Mga Seryeng Ibinalik"
"Return items","bumalik item"
"Are you sure you want to return selected items?","Sigurado ka bang gusto mong bumalik napiling mga item?"
"Reserved Qty","Nakareserba Dami"
"Shipped Qty","ipinadala Dami"
"Max Qty To Return","Max Dami Upang Bumalik"
"Order Id","Order Id"
"Qty To Return","Dami Upang Bumalik"
"Serial","serye"
"Serials Shipped","Mga Seryeng Ipinadala"
"Qty Shipped","Dami Ipinadala"
"Send","magpadala"
"Send items","Magpadala ng mga item"
"Are you sure you wan't to send selected items?","Sigurado ka ba na ikaw wan&#39;t upang magpadala napiling mga item?"
"Max Qty To Ship","Max Dami Upang Ship"
"Qty To Ship","Dami Upang Ship"
"Reservation Information","Reserbasyon Impormasyon"
"Is From Order","Ay Mula Order"
"Add New Reservation","Magdagdag ng Bagong Reserbasyon"
"Is Order","ay Order"
